company,ts_code,priority,pe_ttm,pb,pe_3y_level,pb_3y_level,pe_pb_pattern,q1_net_income,q1_oper_cf,q1_cf_to_ni,ar_yoy,inv_yoy,ar_to_rev,inv_to_rev,bs_warning,rzye,circ_mv_yuan,rz_to_float,hot_days,limit_events,net_flow_yi,hsgt_days,margin_delta_yi,diverge_tags,consensus_tags,diverge_score,research_priority_score,snapshot_generated_at,source_reference_date,source_margin_date,source_fin_date
珂玛科技,301611.SZ,P1,222.1844,30.0911,>p90,>p90,多重扩张,45887389.17,49321880.4,1.0748460806361453,0.4945709117246612,0.5210738793530667,2.1087489096634595,1.3201681885614132,应收增长偏快 | 存货暴增 | 应收超单季收入,,,,1,0,24.523951,0,3.5984398,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
兴森科技,002436.SZ,P1,627.7278,16.9736,>p90,>p90,多重扩张,18744694.13,-247107316.08,-13.18278731924019,0.15128751153396758,0.49974723468197185,1.2421818695778744,0.6339404062568657,存货增长偏快 | 应收超单季收入,,,,18,2,13.067368,0,9.73507924,,,0,3,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
胜宏科技,300476.SZ,P1,76.7366,20.6335,p75-p90,>p90,资产重估型,1288427592.46,2116658463.16,1.6428229848125617,0.15636144922689318,0.6759884892277124,1.0064670018104371,0.7075346650858381,存货暴增 | 应收超单季收入,,,,36,0,54.688283999999996,9,56.03434904,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
深南电路,002916.SZ,P1,85.7127,17.2204,>p90,>p90,多重扩张,850230796.58,247409844.58,0.2909913938370506,0.4254588558258102,0.7710301589244094,0.8868175667948227,0.9857094779168983,应收增长偏快 | 存货暴增,,,,5,4,-3.9023589999999997,1,5.91830185,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
世运电路,603920.SH,P1,74.5319,6.1897,>p90,p75-p90,利润压缩型,36632360.83,248625224.45,6.787037985452165,0.045817291155322105,0.42889305247549775,0.9947517743719474,0.6074434484941533,存货增长偏快,1776457743.0,40302727339.0,0.04407785428657489,2,5,-38.248777000000004,0,3.34191962,涨停频繁但未上榜,,1,4,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
奥士康,002913.SZ,P1,99.8632,4.8034,>p90,>p90,多重扩张,17450370.32,148701354.88,8.521386775934047,0.09275817454303478,0.4052085909960019,1.095041038389132,0.7573693175935823,存货增长偏快 | 应收超单季收入,,,,0,5,-6.515947,0,0.83844697,涨停频繁但未上榜,,1,5,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
TCL 科技,000100.SZ,P1,20.5104,1.6558,<p50,p75-p90,估值健康,1556452595.0,11394756856.0,7.320979060078601,0.022793407957570778,0.0417061199402623,0.46563955039613014,0.4682319829236387,,,,,8,0,-123.21497099999999,0,11.04927988,,,0,0,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
京东方 A,000725.SZ,P1,43.1444,1.8863,p50-p75,>p90,资产重估型,1707220076.0,12299498803.0,7.204401457026915,-0.043677914508527836,0.006379915263663938,0.6235319794784919,0.5004569913853096,,,,,26,3,27.008196999999996,2,48.11120339,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
三利谱,002876.SZ,P1,111.8562,2.3479,>p90,p75-p90,利润压缩型,33317160.28,-121428736.83,-3.6446304489789485,0.12378422374572536,0.07749605458415901,1.1672950907907398,1.1396372158107313,应收超单季收入,,,,0,3,-2.466572,0,-0.27739062,,,0,2,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
木林森,002745.SZ,P1,,1.459,N/A,>p90,N/A,418738044.65,287475567.83,0.6865284191463542,0.1593480709613576,0.02184629444193638,0.9181559989773627,0.7710280646528805,,,,,0,1,-12.30387,0,0.64025533,,,0,1,2026-06-24T23:55:26+08:00,2026-06-22,20260623,20260331
